GENE	G_arboreum	G_arboreum+N	G_raimondii	G_raimondii+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
lcl|NC_030664.1_cds_XP_017629427.1_1	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629439.1_2	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017607568.1_3	0	0	0	0	0	0	3	0
lcl|NC_030664.1_cds_XP_017629452.1_4	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629459.1_5	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606774.1_6	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017606782.1_7	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606762.1_8	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629470.1_9	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614325.1_10	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017641599.1_12	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017641071.1_13	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629483.1_14	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614238.1_15	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614225.1_16	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647775.1_18	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643778.1_19	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622063.1_20	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017627553.1_21	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017616826.1_22	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622117.1_23	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017628845.1_24	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017607461.1_26	0	0	0	0	0	0	0	0
