GENE	G_arboreum%G_a_rep1	G_arboreum%G_a_rep2	G_arboreum_x_raimondii%G_HH_rep1	G_arboreum_x_raimondii%G_HH_rep2	G_raimondii%G_r_rep1	G_raimondii%G_r_rep2
lcl|NC_030664.1_cds_XP_017629427.1_1	0	0	0	0	0	1
lcl|NC_030664.1_cds_XP_017629439.1_2	0	1	3	2	5	1
lcl|NC_030664.1_cds_XP_017607568.1_3	894	716	1419	1132	1174	711
lcl|NC_030664.1_cds_XP_017629452.1_4	304	215	137	162	96	71
lcl|NC_030664.1_cds_XP_017629459.1_5	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606774.1_6	129	75	128	82	124	90
lcl|NC_030664.1_cds_XP_017606782.1_7	117	45	124	69	108	81
lcl|NC_030664.1_cds_XP_017606762.1_8	21	13	10	5	2	1
lcl|NC_030664.1_cds_XP_017629470.1_9	0	0	1	0	0	0
lcl|NC_030664.1_cds_XP_017614325.1_10	184	114	236	165	220	159
lcl|NC_030664.1_cds_XP_017641599.1_12	12	2	8	14	8	9
lcl|NC_030664.1_cds_XP_017641071.1_13	11	2	6	7	5	9
lcl|NC_030664.1_cds_XP_017629483.1_14	0	0	1	0	2	0
lcl|NC_030664.1_cds_XP_017614238.1_15	46	17	48	43	41	18
lcl|NC_030664.1_cds_XP_017614225.1_16	51	25	38	47	51	34
lcl|NC_030664.1_cds_XP_017647775.1_18	4	2	4	7	2	1
lcl|NC_030664.1_cds_XP_017643778.1_19	40	46	127	143	38	24
lcl|NC_030664.1_cds_XP_017622063.1_20	137	110	92	71	159	105
lcl|NC_030664.1_cds_XP_017627553.1_21	223	112	212	90	165	104
lcl|NC_030664.1_cds_XP_017616826.1_22	29	26	47	39	29	18
lcl|NC_030664.1_cds_XP_017622117.1_23	72	37	78	87	98	71
lcl|NC_030664.1_cds_XP_017628845.1_24	46	32	50	38	68	49
lcl|NC_030664.1_cds_XP_017607461.1_26	186	111	15	7	225	179
lcl|NC_030664.1_cds_XP_017607467.1_27	124	74	23	9	182	125
lcl|NC_030664.1_cds_XP_017607450.1_28	380	201	206	132	310	303
lcl|NC_030664.1_cds_XP_017645782.1_29	121	81	94	52	79	65
lcl|NC_030664.1_cds_XP_017642173.1_30	16	14	24	13	28	6
lcl|NC_030664.1_cds_XP_017645635.1_32	17	11	8	6	5	4
lcl|NC_030664.1_cds_XP_017627672.1_33	33	28	58	35	41	28
lcl|NC_030664.1_cds_XP_017613023.1_34	121	81	150	150	170	111
lcl|NC_030664.1_cds_XP_017645360.1_35	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629495.1_36	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017623003.1_37	148	72	115	83	78	65
lcl|NC_030664.1_cds_XP_017622995.1_38	159	90	137	102	105	70
lcl|NC_030664.1_cds_XP_017625775.1_39	30	24	50	38	54	40
lcl|NC_030664.1_cds_XP_017614730.1_42	116	82	71	61	71	50
lcl|NC_030664.1_cds_XP_017646521.1_43	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017610369.1_45	23	25	22	20	13	17
lcl|NC_030664.1_cds_XP_017610378.1_46	43	34	32	20	15	10
lcl|NC_030664.1_cds_XP_017623911.1_49	126	67	101	84	92	92
lcl|NC_030664.1_cds_XP_017629506.1_50	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017604989.1_51	305	222	148	123	110	118
lcl|NC_030664.1_cds_XP_017629515.1_53	1	0	6	2	5	5
lcl|NC_030664.1_cds_XP_017647739.1_54	0	0	0	0	1	5
lcl|NC_030664.1_cds_XP_017615031.1_55	719	606	250	394	283	125
lcl|NC_030664.1_cds_XP_017609302.1_56	612	527	262	389	227	115
lcl|NC_030664.1_cds_XP_017604177.1_58	173	105	210	162	181	113
lcl|NC_030664.1_cds_XP_017629147.1_59	68	53	19	28	122	91
lcl|NC_030664.1_cds_XP_017643214.1_61	42	34	35	22	46	13
lcl|NC_030664.1_cds_XP_017647972.1_64	0	0	1	0	1	0
lcl|NC_030664.1_cds_XP_017642677.1_65	42	27	11	7	6	5
lcl|NC_030664.1_cds_XP_017641346.1_74	32	16	10	10	10	3
lcl|NC_030664.1_cds_XP_017629313.1_75	113	40	34	23	30	22
lcl|NC_030664.1_cds_XP_017629318.1_76	158	88	25	18	10	9
lcl|NC_030664.1_cds_XP_017645449.1_77	9	2	8	4	2	3
lcl|NC_030664.1_cds_XP_017629265.1_78	103	74	106	70	61	45
lcl|NC_030664.1_cds_XP_017641045.1_79	195	58	199	191	280	182
lcl|NC_030664.1_cds_XP_017629547.1_80	1	0	0	1	0	0
lcl|NC_030664.1_cds_XP_017644642.1_81	0	0	0	0	4	1
lcl|NC_030664.1_cds_XP_017622273.1_82	235	168	213	234	175	111
lcl|NC_030664.1_cds_XP_017623586.1_83	106	65	17	22	41	38
lcl|NC_030664.1_cds_XP_017623579.1_84	156	75	42	21	89	62
lcl|NC_030664.1_cds_XP_017609450.1_85	51	26	15	52	21	11
lcl|NC_030664.1_cds_XP_017609321.1_87	2	0	1	9	0	1
lcl|NC_030664.1_cds_XP_017643917.1_89	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017624193.1_90	6	2	14	53	36	16
lcl|NC_030664.1_cds_XP_017614420.1_91	296	178	344	602	201	104
lcl|NC_030664.1_cds_XP_017648089.1_92	0	0	3	3	0	0
lcl|NC_030664.1_cds_XP_017645196.1_93	351	183	294	229	444	280
lcl|NC_030664.1_cds_XP_017629577.1_94	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017643759.1_95	62	27	49	39	47	31
lcl|NC_030664.1_cds_XP_017624768.1_97	151	84	137	129	182	109
lcl|NC_030664.1_cds_XP_017627812.1_99	13	12	12	8	20	13
lcl|NC_030664.1_cds_XP_017618340.1_100	154	95	122	149	114	75
lcl|NC_030664.1_cds_XP_017629588.1_101	1	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017605987.1_102	163	90	402	247	425	305
lcl|NC_030664.1_cds_XP_017631512.1_103	106	59	197	108	133	104
lcl|NC_030664.1_cds_XP_017625327.1_104	127	101	99	140	108	92
lcl|NC_030664.1_cds_XP_017639784.1_106	0	0	6	3	2	0
lcl|NC_030664.1_cds_XP_017642497.1_107	36	25	36	38	15	8
lcl|NC_030664.1_cds_XP_017649736.1_108	291	184	415	257	397	226
lcl|NC_030664.1_cds_XP_017629337.1_109	215	84	47	50	198	167
lcl|NC_030664.1_cds_XP_017642460.1_111	18	14	32	47	44	17
lcl|NC_030664.1_cds_XP_017606058.1_112	60	38	106	81	60	39
lcl|NC_030664.1_cds_XP_017606065.1_113	40	25	30	11	18	12
